name,size,percent_used,index_scans,seq_scans,unused
public.idx_audit_log_entry_hash,16 kB,0%,0,0,t
public.companies_slug_key,16 kB,0%,0,0,t
public.idx_import_sessions_company,16 kB,100%,106,0,f
public.admin_audit_log_pkey,16 kB,100%,1,0,f
public.idx_audit_log_action,16 kB,0%,0,0,t
public.idx_audit_log_created_at,16 kB,0%,0,0,t
public.idx_employees_name,16 kB,0%,0,0,t
public.idx_employees_company_email,16 kB,0%,0,0,t
public.profiles_pkey,16 kB,0%,0,0,t
public.idx_trips_entry_date,16 kB,100%,6,0,f
public.idx_import_sessions_created,16 kB,0%,0,0,t
public.notification_log_pkey,16 kB,100%,2,0,f
public.idx_notification_log_employee_id,16 kB,100%,30,0,f
public.idx_admin_audit_action,16 kB,0%,0,0,t
public.import_sessions_pkey,16 kB,100%,52,0,f
public.idx_alerts_employee_type_active,16 kB,0%,0,0,t
public.idx_trips_employee_date_range,16 kB,100%,2994,0,f
public.idx_notification_preferences_company_id,16 kB,0%,0,0,t
public.idx_column_mappings_last_used,16 kB,0%,0,0,t
public.idx_audit_log_user_id,16 kB,100%,1,0,f
public.idx_entitlements_trial,16 kB,100%,19,0,f
public.alerts_pkey,16 kB,100%,4,0,f
public.employees_pkey,16 kB,100%,76,0,f
public.column_mappings_pkey,16 kB,0%,0,0,t
public.idx_import_sessions_user,16 kB,100%,6,0,f
public.idx_profiles_auth_provider,16 kB,0%,0,0,t
public.idx_employees_company_id,16 kB,0%,0,0,t
public.idx_trips_employee_company,16 kB,100%,90,0,f
public.idx_alerts_company_unresolved,16 kB,0%,0,0,t
public.tiers_pkey,16 kB,100%,47,0,f
public.idx_admin_audit_admin,16 kB,100%,7,0,f
public.idx_audit_log_company_id,16 kB,0%,0,0,t
public.company_entitlements_pkey,16 kB,100%,2,0,f
public.idx_trips_company_id,16 kB,0%,0,0,t
public.idx_alerts_company_id,16 kB,0%,0,0,t
public.idx_employees_company_not_deleted,16 kB,100%,70,0,f
public.idx_trips_exit_date,16 kB,100%,66,0,f
public.idx_admin_audit_company,16 kB,100%,4,0,f
public.idx_profiles_superadmin,16 kB,0%,0,0,t
public.trips_pkey,16 kB,100%,7,0,f
public.idx_admin_audit_created,16 kB,100%,29,0,f
public.schengen_countries_pkey,16 kB,100%,43,0,f
public.idx_notification_log_created_at,16 kB,0%,0,0,t
public.idx_profiles_company_id,16 kB,0%,0,0,t
public.companies_pkey,16 kB,100%,1,0,f
public.idx_import_sessions_status,16 kB,0%,0,0,t
public.notification_preferences_pkey,16 kB,100%,3,0,f
public.idx_notification_preferences_user_id,16 kB,100%,17,0,f
public.idx_notification_log_alert_id,16 kB,0%,0,0,t
public.idx_notification_log_status,16 kB,0%,0,0,t
public.idx_column_mappings_format,16 kB,100%,12,0,f
public.idx_alerts_company_unacknowledged,16 kB,0%,0,0,t
public.idx_alerts_employee_id,16 kB,0%,0,0,t
public.idx_alerts_employee_resolved,16 kB,0%,0,0,t
public.company_entitlements_company_id_key,16 kB,100%,13,0,f
public.idx_trips_employee_id,16 kB,0%,0,0,t
public.idx_profiles_id,16 kB,0%,0,0,t
public.idx_column_mappings_created,16 kB,0%,0,0,t
public.idx_audit_log_company_recent,16 kB,0%,0,0,t
public.audit_log_pkey,16 kB,100%,3,0,f
public.idx_employees_email_lower,16 kB,0%,0,0,t
public.idx_employees_anonymized_at,16 kB,0%,0,0,t
public.idx_column_mappings_company,16 kB,0%,0,0,t
public.company_settings_pkey,16 kB,100%,36,0,f
public.idx_entitlements_tier,16 kB,0%,0,0,t
public.notification_preferences_user_unique,16 kB,0%,0,0,t
public.idx_trips_employee_not_ghosted,16 kB,0%,0,0,t
public.idx_notification_log_company_id,16 kB,100%,1,0,f
public.idx_notification_preferences_unsubscribe_token,16 kB,0%,0,0,t
public.idx_entitlements_company,16 kB,100%,32,0,f
public.idx_notes_pinned,8192 bytes,0%,0,0,t
public.background_jobs_pkey,8192 bytes,0%,0,0,t
public.idx_employees_deleted_at,8192 bytes,100%,18,0,f
public.idx_snapshots_risk,8192 bytes,0%,0,0,t
public.idx_jobs_created,8192 bytes,0%,0,0,t
public.idx_jobs_company,8192 bytes,0%,0,0,t
public.idx_notes_follow_up,8192 bytes,0%,0,0,t
public.idx_snapshots_generated,8192 bytes,0%,0,0,t
public.idx_jobs_status,8192 bytes,0%,0,0,t
public.company_notes_pkey,8192 bytes,100%,2,0,f
public.employee_compliance_snapshots_pkey,8192 bytes,0%,0,0,t
public.idx_snapshots_company,8192 bytes,0%,0,0,t
public.idx_entitlements_suspended,8192 bytes,0%,0,0,t
public.idx_jobs_type_status,8192 bytes,0%,0,0,t
public.idx_notes_company,8192 bytes,100%,11,0,f
public.employee_compliance_snapshots_employee_id_key,8192 bytes,0%,0,0,t
