name,table_size,index_size,total_size,estimated_row_count,seq_scans
public.trips,48 kB,128 kB,176 kB,102,267
public.admin_audit_log,88 kB,80 kB,168 kB,88,25
public.employees,48 kB,120 kB,168 kB,45,610
public.import_sessions,88 kB,80 kB,168 kB,35,15
public.audit_log,16 kB,112 kB,128 kB,25,40
public.alerts,16 kB,112 kB,128 kB,1,288
public.notification_log,16 kB,96 kB,112 kB,1,20
public.company_entitlements,16 kB,88 kB,104 kB,8,25
public.profiles,16 kB,80 kB,96 kB,2,2390
public.column_mappings,16 kB,80 kB,96 kB,2,43
public.notification_preferences,8192 bytes,80 kB,88 kB,1,20
public.companies,16 kB,32 kB,48 kB,8,518
public.employee_compliance_snapshots,8192 bytes,40 kB,48 kB,0,161
public.background_jobs,8192 bytes,40 kB,48 kB,0,17
public.company_notes,8192 bytes,32 kB,40 kB,0,20
public.schengen_countries,16 kB,16 kB,32 kB,33,18
public.tiers,16 kB,16 kB,32 kB,4,38
public.company_settings,8192 bytes,16 kB,24 kB,1,21
